within 0,within 1,between
0.6978450899322828,0.6924228175232808,0.6913240533904172
0.6112730109674576,0.6447760907544212,0.6389545755098678
0.46248090780225765,0.6599808887411387,0.6124113855962661
0.47289186763839847,0.5938503921320607,0.5829677442927668
0.5192189997287242,0.581656423504647,0.5493133047665839
0.4075596009405511,0.5387365737641674,0.4661644993097106
0.5547570623261364,0.620014466119535,0.5797034523760279
0.5881604230570557,0.5808153648183427,0.5752693836945885
0.49376627218734936,0.6249764397817974,0.6030068267738216
0.6169137333464974,0.5869193053493897,0.5871010904985607
0.47747623949544504,0.6261219509167686,0.5975258197854547
0.44128510833473966,0.6039858537037884,0.5542735461725433
0.518775537073838,0.624296747965395,0.5799163747986313
0.5796246498823165,0.6126981066878546,0.5917158090829616
0.5218686492133808,0.5842321543663275,0.5414808805417124
0.6069622809620021,0.6238708228932,0.6059062167529076
0.556107924496329,0.6372418456434549,0.62648928033868
0.5340934980483282,0.5447831111138358,0.5780448689810275
0.5980964922790669,0.5025026247082721,0.5785904050309784
0.6057389458077714,0.5463997403708979,0.5675398460579923
0.6447644365657317,0.6717764896933328,0.6437683447108914
0.6246460877503046,0.5693821156566793,0.6215287877077406
0.5524323042947799,0.6030780305004252,0.567526644927284
0.4443519094262968,0.6295579100237685,0.5670549986331487
0.1231350132397243,0.6123160921852104,0.51594669367985
0.43826034420026844,0.5767773421389143,0.5216590739811571
0.49170717110391704,0.6377334383161117,0.574449509373153
0.602137778855027,0.42682783621730225,0.545979052387266
0.3384842897591355,0.6167859246716926,0.5441107059384758
0.5246413192659269,0.6462172049853777,0.580423459859467
0.6562654934929345,0.4475291749364451,0.6068930554096975
0.5424447078878681,0.6283946394842739,0.5818026944234589
0.6862045137191212,0.6599885963414814,0.6533882645409672
0.48547269694562345,0.5898232444768843,0.5388782844720371
0.4770122602617798,0.518287256721284,0.4762671787651174
0.6421091589077453,0.4479691556984714,0.5756255272851831
0.49971811306979935,0.47272312367126823,0.4808509484765333
0.5650582827116662,0.5892976165202818,0.5500178456294966
0.5712607235382433,0.44380092805340177,0.5197486367226077
0.40057263335850285,0.5359475637580124,0.4640985600787464
0.5479125861510208,0.5408315721394804,0.5254121141754808
0.5903917681973647,0.6791840647910159,0.6258062643778791
0.3443060608115047,0.5809685561774435,0.4787319358347304
0.39178600666696034,0.5235109768179756,0.4568069183535102
0.5315138490637764,0.5489480271663827,0.5247747763078223
0.3889391804708996,0.5841031292230657,0.4998910741401646
0.6710485304133423,0.5708988720240692,0.6098927588955121
0.5292770959174212,0.6530673402301662,0.6056832071423892
0.5270648379544062,0.6133657196028666,0.5606607572499106
0.5248022708980428,0.5346238997892714,0.5096609489927586
0.5839510928379676,0.6466665439045008,0.6189180654369913
0.531761348360139,0.5943885921490389,0.5558814369003466
0.5182296504355257,0.6032560458576137,0.5891108435469788
0.566676548072913,0.6127098591318559,0.5702618595993365
0.4759806836710164,0.6439727812360686,0.6234430335622341
0.2185546562566862,0.6300537612706155,0.5419691451104536
0.642676906219484,0.5855538993500351,0.59701839034667
0.6618347642056289,0.5562262162275147,0.6126831199234242
0.5297494022930606,0.5931262245389486,0.572695289637583
0.6089716568630148,0.6649860792939424,0.616136651532355
0.5844871173292632,0.5437821768704453,0.5451489989845868
0.607734235056809,0.5942409105045954,0.6048917692227691
0.6246945146614542,0.6485517837341374,0.6128033467625957
0.5917739463792324,0.6501993266018954,0.5926427010948734
0.6111195763756864,0.473280249276396,0.5661433559095409
0.5220657585861559,0.5372021960547413,0.5060559047012836
0.5419819034731892,0.43679602214889157,0.49692747914414925
0.6150446884095713,0.48064380628056824,0.5637785598768067
0.5381603470965348,0.6653835322851172,0.612450455967714
0.6089305647662567,0.43806684055986506,0.5975158542175504
0.6431317283079411,0.6565587068717295,0.6409868379180067
0.5334352254063733,0.5083737490657607,0.5023564335264239
0.4857325318536217,0.5256666747077058,0.5010640301069884
0.5390230871557274,0.5849299926358538,0.5366095693688652
0.5852631592782788,0.5484668210991971,0.5551441891962777
0.5888995473617209,0.5612664437098872,0.5508886312184782
0.4816512381641967,0.5287770578722177,0.487582547030292
0.6025746405905332,0.6368046296671742,0.6020933378177384
0.5551338393587926,0.4555255761902247,0.5053932460902633
0.5170303279600506,0.5674769544052919,0.5223865647380258
0.5069127202616073,0.6074332477617342,0.5601182664873932
0.614667860361246,0.4815024275323083,0.5463967327969075
0.6110688063852263,0.5704940020449851,0.5660589572430278
0.6357832440557721,0.5488682678670813,0.5849755799730101
0.5318204650031784,0.5658283882105771,0.5573978364714591
0.5922859287761056,0.5275870462462894,0.5429134276716288
0.6519805060516874,0.519226363938237,0.570358106007705
0.5396700469689997,0.6372328491037527,0.5915138359526441
0.5631807476696041,0.5931995339687607,0.5659910602193122
0.5352504830359697,0.6047946837491067,0.5558036380590727
0.5438625411440928,0.5712968115721279,0.5400756311909803
0.6384153361735547,0.5195037739167949,0.6022757794611001
0.5735849938519426,0.6352908514129619,0.6093451817032631
0.5914164938275581,0.5792110802398788,0.5598969017813468
0.48128253285844624,0.6352215293528778,0.5658967372321982
0.5922673336607183,0.5433289278959873,0.551404424512978
0.49431290578230846,0.6320884690760389,0.5751890114437807
0.4527580191822311,0.6171707126273833,0.5648360752080179
0.5760631733861207,0.386935955435447,0.4919150498573713
0.543237728692059,0.45736390156325263,0.4938466200177323
