within 0,within 1,between,Accuracy
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.4749999940395355
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.4749999940395355
0.0,0.0,0.0,0.4749999940395355
0.0,0.0,0.0,0.4749999940395355
0.0,0.0,0.0,0.4749999940395355
0.0,0.0,0.0,0.4749999940395355
0.0,0.0,0.0,0.4749999940395355
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.4749999940395355
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.4749999940395355
0.0,0.0,0.0,0.4749999940395355
0.0,0.0,0.0,0.4749999940395355
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.4749999940395355
0.0,0.0,0.0,0.4749999940395355
0.0,0.0,0.0,0.4749999940395355
0.0,0.0,0.0,0.4749999940395355
0.0,0.0,0.0,0.4749999940395355
0.0,0.0,0.0,0.4749999940395355
0.0,0.0,0.0,0.4749999940395355
0.0,0.0,0.0,0.4749999940395355
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.5249999761581421
0.0,0.0,0.0,0.4749999940395355
0.0,0.0,0.0,0.4749999940395355
0.0,0.0,0.0,0.4749999940395355
