within 0,within 1,between,acc freq,acc size
10.949921730686636,11.175604329790389,11.090472292432597,43.75,65.625
11.172648272093605,10.715001349222092,10.972774697285072,54.6875,60.9375
10.745315781506624,11.076148940268016,10.744654078504224,56.25,65.625
10.527205604353762,11.058276218372386,10.871271965049562,55.46875,68.75
11.117238223552704,10.818582631150882,10.737085779197514,56.25,70.625
11.099737546023201,10.38431585752047,11.181393541040874,71.875,90.625
10.903908530173943,10.82519282744481,11.063089173815028,73.4375,93.75
10.416300161679585,10.777967802683513,11.519849827513099,75.0,94.79166666666667
10.7814735299065,10.984712635769563,11.263331028059417,72.65625,95.3125
10.910687764485678,10.927124301155844,11.168625135270377,75.0,96.25
10.920194445994863,10.624199965061285,11.215040217527012,81.25,100.0
10.699391193878956,10.913291599318297,11.423341390092363,76.5625,100.0
10.714650648092134,9.587719469280033,11.840398830080789,79.16666666666667,98.95833333333333
10.86491508029756,10.70467304131564,11.375703398386637,80.46875,99.21875
10.578663584064035,10.396551182156518,11.690482857648064,82.5,99.375
10.649784422540046,9.339856317308215,12.041692155057733,87.5,100.0
10.649260564567216,10.054113741759416,11.772284950528826,89.0625,100.0
10.218025275071462,9.055143851041795,12.305457804352045,89.58333333333333,100.0
10.765904390244257,8.855671215057374,11.995616361692354,88.28125,100.0
9.957230503068251,9.45831153960455,12.281311725167667,90.0,100.0
10.057109411557516,9.483293012777965,12.425707159563899,90.625,100.0
9.995769588386311,9.251718634650821,12.456258422253178,92.1875,100.0
8.738208642372719,9.999913495883607,12.608572342135163,93.75,100.0
10.192829580867992,8.554959915496491,12.542202915464129,92.96875,100.0
9.329370079459725,9.744807435017005,12.541300480327909,93.75,100.0
10.242082367925082,9.39612919035412,12.278536377701105,90.625,100.0
10.088905819169767,9.62350922783995,12.235351899313548,90.625,100.0
9.545565898601826,9.852285888459948,12.365513403888656,88.54166666666667,100.0
10.833614133653187,9.303672781857577,11.814884130056802,88.28125,100.0
10.431544170045017,8.983182790951851,12.086709223295513,87.5,100.0
10.080489612677518,8.87326812971206,12.317315868302888,93.75,100.0
10.300533729687071,9.5138194836103,12.156591820813384,87.5,100.0
10.039942149243323,9.32375441802727,12.49661375795092,88.54166666666667,100.0
9.893639922142029,8.009312152862549,12.79098045685712,89.84375,100.0
9.553864479064941,8.975994551181794,12.641135482117534,90.625,100.0
9.77838994295169,9.521004554123907,12.258267387204807,96.875,100.0
10.180769868691762,9.522905655701955,11.96545716561377,85.9375,100.0
9.901748985955209,10.04415535675852,12.043179255723953,86.45833333333333,100.0
8.759955687956376,10.138000998998944,12.481644449631373,86.71875,100.0
9.817051626387096,9.80504834564293,12.273260786019119,88.125,100.0
10.054022801273009,8.981917629923139,12.339792883629892,93.75,100.0
9.506316682270596,9.477614881361232,12.610823247946945,92.1875,100.0
9.740432011730531,8.30069769904727,12.719884356330423,91.66666666666667,100.0
8.90675066678952,8.205096750928645,13.002451448788044,92.96875,100.0
8.552595242475851,8.319967654713412,13.213756059345446,93.75,100.0
9.771002677770761,9.170190898995651,12.51511329774432,93.75,100.0
9.612233239128477,8.547545215662788,12.701817160961674,93.75,100.0
9.951671240376491,8.890938803389831,12.610886314558604,92.70833333333333,100.0
9.835757390046732,9.59263062755964,12.356725775761161,92.96875,100.0
9.562054209656768,9.269536378336888,12.460714022318522,93.125,100.0
