within 0,within 1,between,acc size,acc freq
8.950597152990454,9.503108723958333,9.151635155023312,50.0,56.25
11.149474514098394,10.7481209285119,10.952440515218997,56.25,51.5625
10.841375124220754,11.21191983956557,10.67895518692713,53.125,48.958333333333336
10.74719067982265,11.101464886135526,10.775451642816718,53.90625,50.0
10.012238557522114,10.92175866575802,10.794014178571247,55.0,51.25
11.048609581622449,10.9386858129813,10.869896298363095,54.166666666666664,53.125
10.87032328088299,10.737503633394347,11.074710131637634,54.910714285714285,53.57142857142857
10.555320502885806,10.736683706660846,11.10184215174781,57.8125,57.03125
9.735315677447197,9.812659011249654,10.818349581498365,59.72222222222222,60.763888888888886
10.400236602056594,10.378552745370303,11.547432656381645,61.25,64.375
9.624714454015097,8.861302675569759,11.807838279125738,61.36363636363637,67.32954545454545
8.324597002385737,9.605453958698348,12.782758181057279,63.28125,70.05208333333333
6.659967697991265,9.850635972889988,12.190978040478447,65.14423076923077,72.11538461538461
7.809916079392907,6.762470434873532,13.969576241033762,66.74107142857143,74.10714285714286
6.349890935070374,7.289020202273414,14.110715263965083,67.5,75.83333333333333
7.207147630892302,5.673626773285143,14.380536603927613,69.3359375,77.34375
5.481412892832475,6.495342095692952,14.550175655589385,70.95588235294117,78.67647058823529
5.471750364700953,5.973953366279602,14.699096903204918,72.56944444444444,79.86111111111111
4.372348487377167,7.738150453379031,14.293810337637934,74.01315789473684,80.92105263157895
4.715741136494805,5.7606970355624245,14.94502846212948,75.15625,81.875
5.120740860700607,5.016777741909027,15.033349435776472,76.33928571428571,82.73809523809524
6.249819924434026,4.553695336977641,14.822412863373756,77.41477272727273,83.52272727272727
6.4008822245904575,4.3805562273049965,14.765382878693492,78.39673913043478,84.10326086956522
6.87606930171234,3.948391241686685,14.68324409921964,79.296875,84.765625
3.891664063537514,5.563499851164475,15.044446612161304,79.875,85.375
3.919198612761653,3.752358371084863,15.429210413069953,80.28846153846153,85.9375
3.38873727619648,5.332060521841049,15.0496931001544,80.55555555555556,86.45833333333333
4.311919872523748,3.8626541785704784,15.36657235689974,81.02678571428571,86.94196428571429
3.8413724987130418,5.3775913697300535,15.064688555399577,81.14224137931035,87.39224137931035
3.5328900494606668,6.3420239346367975,14.795817511422294,81.25,87.8125
4.078151784398976,5.80818221001398,14.808142748066023,81.75403225806451,88.20564516129032
4.203286026026073,6.233780857288476,14.729930055141448,82.03125,88.57421875
3.0877594384518297,4.918169801531274,15.309178129075066,82.38636363636364,88.92045454545455
3.852523556122413,5.59431302157882,15.040364390327817,82.8125,89.24632352941177
3.915697287727188,5.645971868552413,15.01821079708281,83.03571428571429,89.55357142857143
4.169964967193184,5.192736790071126,15.13031506159949,83.50694444444444,89.84375
3.6068399318682602,3.9237486202638228,15.468010353663612,83.95270270270271,90.11824324324324
4.943680734861465,4.026948727260937,15.256372472424529,84.29276315789474,90.3782894736842
4.613486788147374,4.626731695550861,15.163491948445637,84.69551282051282,90.625
3.870282477074927,4.883710786408069,15.180788168831477,85.0,90.859375
3.721865461422847,4.707183179102446,15.301412574675402,85.36585365853658,91.08231707317073
4.470292366544405,4.086766051252683,15.305458534508944,85.71428571428571,91.29464285714286
4.90713367488358,5.024617307326373,15.065193047599188,86.04651162790698,91.49709302325581
3.7396998497155995,4.354029995164061,15.37552405539013,86.36363636363636,91.6903409090909
4.489349074416108,5.429341994859035,15.066539718991233,86.66666666666667,91.875
3.8658525681757663,4.9631575213538275,15.237022978918892,86.95652173913044,92.05163043478261
4.493414993379631,4.04072677565145,15.326176351971096,87.23404255319149,92.22074468085107
3.707442890156756,4.759322743010677,15.284908790437003,87.5,92.3828125
4.363816027839978,4.763985409339269,15.234242849051952,87.62755102040816,92.53826530612245
4.117442356215583,5.540875966930802,15.107402909885753,87.875,92.6875
4.699526100376852,4.692873898443285,15.16657470899915,88.11274509803921,92.83088235294117
3.6096477292832874,4.9292844016762345,15.246668228448605,88.28125,92.96875
4.107669526404077,3.974120516403049,15.377007802327475,88.50235849056604,93.10141509433963
2.9714253141766505,3.8630948908188762,15.534360635046866,88.71527777777777,93.22916666666667
5.472777570200245,4.425104349087446,14.99332780876623,88.92045454545455,93.29545454545455
3.478408859326289,4.765413930541591,15.321972229220124,89.11830357142857,93.41517857142857
5.006597021441439,3.3161634074317083,15.285765292427756,89.3092105263158,93.53070175438596
3.4882087505915584,4.884902904147194,15.24549539229449,89.38577586206897,93.64224137931035
3.5779644164172084,8.384266994113014,13.753115596193256,89.40677966101696,93.59110169491525
4.229967491250289,3.774463100866838,15.36516366402308,89.42708333333333,93.69791666666667
4.77958128111703,6.240868324742598,14.522584986219218,89.39549180327869,93.75
4.901399351218167,4.174033410208565,15.11356726253734,89.51612903225806,93.80040322580645
5.776779202853932,5.284156095850599,14.61329510098412,89.43452380952381,93.84920634920636
5.405631784598032,5.253739901383718,14.758246287703514,89.55078125,93.9453125
6.901692645222533,5.372631332376501,14.1091567221142,89.66346153846153,93.99038461538461
4.465678502122561,4.96665773789088,15.133604671806097,89.72537878787878,94.08143939393939
3.742925721587557,5.586605466039557,15.069785916805268,89.87873134328358,94.16977611940298
6.555146954276345,3.809693757030699,14.712246636837577,89.98161764705883,94.16360294117646
4.206121871673983,4.334727331832215,15.3166406230321,90.1268115942029,94.2481884057971
3.7617283801586305,3.661019632449517,15.501422689028598,90.26785714285714,94.33035714285714
3.792497461968726,6.127921878901962,14.924113720182389,90.27288732394366,94.41021126760563
4.585387014875225,4.6388687982664,15.133707939632355,90.36458333333333,94.48784722222223
3.4935141736810857,6.981098565601167,14.608266198789918,90.49657534246575,94.52054794520548
4.57821506857872,6.228659386436145,14.679259516298771,90.58277027027027,94.5945945945946
5.744829015298323,4.429764106538561,14.886342386765914,90.66666666666667,94.625
2.6826003659855235,6.4134054263432825,14.893246679595023,90.78947368421052,94.69572368421052
3.7306173935041325,5.3205366430718914,15.154155102987138,90.9090909090909,94.7646103896104
4.5116724590460455,6.003327100475629,14.86331644281745,90.98557692307692,94.83173076923077
4.363095957499284,6.387429759516354,14.739228491841057,91.0996835443038,94.89715189873418
4.845150025336297,6.332875522912717,14.784660206900703,91.1328125,94.9609375
4.069094636042913,5.095102573434512,15.184448726475239,91.24228395061728,95.02314814814815
4.860221004953571,3.9027200845571666,15.269891451275537,91.34908536585365,95.08384146341463
5.414443658527575,4.909761116360173,14.940353512763977,91.45331325301204,95.14307228915662
6.059753040551197,2.626926475101047,15.113727560365833,91.55505952380952,95.20089285714286
4.7615149906452965,5.037794213067918,15.046890905791638,91.61764705882354,95.25735294117646
5.334611223245922,3.6330889770478914,15.163539807001749,91.71511627906976,95.3125
4.309144028027853,5.351361687978109,15.045971941202879,91.8103448275862,95.36637931034483
3.385298430919647,8.987720914508985,13.713946766323513,91.9034090909091,95.4190340909091
4.5991485947654365,4.458591980092666,15.220422355801452,91.99438202247191,95.47050561797752
3.2569039983627124,5.051290440280535,15.32157252385066,92.08333333333333,95.52083333333333
3.767358327523256,5.674603509624102,15.091512135648534,92.17032967032966,95.57005494505495
4.371481336866107,4.993819476927028,15.174933938419118,92.2554347826087,95.61820652173913
3.838697014274178,6.362233044275271,14.832524507764786,92.33870967741936,95.66532258064517
4.207183695891324,5.411051744506473,15.115027622148103,92.42021276595744,95.71143617021276
4.301143958677653,5.5834502047234835,14.996011760499742,92.5,95.75657894736842
2.626281308405327,5.51625445265519,15.224550187587738,92.578125,95.80078125
6.733020280346726,5.072886204719543,14.485486849871549,92.65463917525773,95.74742268041237
3.7287204027175904,5.427951693534851,15.111079799427706,92.7295918367347,95.79081632653062
3.900085875862523,4.834624290466309,15.254010868458613,92.73989898989899,95.83333333333333
2.641842442554432,5.9663802291832715,15.01520551953997,92.8125,95.875
