between,within_0,within_1
15.999687194824219,16.0,16.0
16.0,16.0,16.0
16.0,16.0,16.0
16.0,15.999374389648438,16.0
16.0,16.0,16.0
16.0,16.0,16.0
16.0,16.0,16.0
16.0,16.0,16.0
16.0,16.0,16.0
15.999687194824219,16.0,16.0
15.999374389648438,16.0,16.0
16.0,16.0,15.999374389648438
16.0,16.0,15.999374389648438
16.0,16.0,16.0
16.0,15.999374389648438,16.0
15.999687194824219,16.0,16.0
16.0,16.0,15.999374389648438
15.999687194824219,15.999374389648438,16.0
16.0,16.0,16.0
15.999687194824219,16.0,16.0
15.999687194824219,16.0,16.0
15.999687194824219,16.0,15.999374389648438
16.0,15.999374389648438,15.998748779296875
16.0,15.999374389648438,16.0
15.999687194824219,16.0,16.0
15.999374389648438,15.998748779296875,16.0
15.999374389648438,16.0,15.999374389648438
16.0,15.999374389648438,16.0
16.0,16.0,16.0
15.999374389648438,15.999374389648438,15.999374389648438
15.999374389648438,15.999374389648438,16.0
15.999061584472656,16.0,16.0
15.999687194824219,15.998748779296875,16.0
15.999374389648438,16.0,15.999374389648438
16.0,15.999374389648438,15.998748779296875
15.999687194824219,16.0,15.999374389648438
16.0,16.0,15.999374389648438
15.999687194824219,15.999374389648438,16.0
15.999061584472656,16.0,16.0
16.0,16.0,15.998748779296875
16.0,16.0,15.999374389648438
16.0,15.999374389648438,15.999374389648438
16.0,16.0,15.998748779296875
15.999687194824219,16.0,15.999374389648438
16.0,16.0,15.998748779296875
16.0,16.0,15.999374389648438
15.999687194824219,16.0,16.0
16.0,16.0,16.0
15.999687194824219,16.0,16.0
16.0,15.999374389648438,16.0
