within 0,within 1,between
-8.585586087556266e-09,-1.7754575039478058e-08,-1.3253436638758732e-08
-2.5197571399165134e-08,-1.3836792537144253e-08,-2.041679708992972e-08
-2.0952604083856095e-08,-2.2232792027975895e-08,-2.1941974812939865e-08
-1.7610463229092686e-08,8.694969322414276e-09,-5.152511906314206e-09
6.230642793357207e-09,-1.890219866969935e-08,-6.173423666017977e-09
1.2271544512580422e-08,-3.117618831336921e-08,-9.957987528580885e-09
-1.9119557551139794e-08,-3.040628279946552e-09,-1.0390020606982343e-08
-1.7232635394245588e-08,-4.576701743929994e-08,-3.1937022550719505e-08
-1.5491448738724714e-08,-6.622738308376736e-09,-1.0581984036210655e-08
-3.9155178881706075e-08,3.0116977375197375e-09,-1.750408838956784e-08
-1.4394318976369844e-08,-1.1266446581073836e-08,-1.26650925873279e-08
-1.933980495371717e-08,-1.2181643087579833e-08,-1.3157916374695606e-08
-7.397739599782525e-10,-6.338050462541537e-09,-4.919293599250989e-09
-2.8731202978412395e-08,-2.0435878208705357e-08,-2.218241041356867e-08
-1.3674331086306083e-08,3.8063924094589076e-09,-4.713815744982719e-09
-7.920883026629984e-10,-1.0270223880471443e-08,-7.0766836514233664e-09
-9.731370575573979e-09,-1.2748095454001914e-08,-9.27448272705078e-09
4.154263120709044e-09,7.66632131454519e-09,6.502324884588068e-09
4.368700379038064e-09,-9.75950242853297e-09,-1.866383899028691e-09
-3.910233788456477e-09,-2.4318335462659372e-08,-1.353999743094811e-08
-2.4169099097158396e-08,-8.109475479644983e-10,-1.3094417759779693e-08
-2.3222588873528814e-09,-1.2475390766942224e-08,-4.910609938881614e-09
-4.166931048777308e-08,-2.948527640484749e-08,-3.882898734166072e-08
7.180240226933849e-09,-2.4316048423632993e-08,-1.1629007370871073e-08
-1.951900485706594e-08,-7.656039278116212e-09,-1.411751923624266e-08
-1.5491448738724714e-08,-5.997951675511007e-09,-1.0941915466013739e-08
-2.1674416281960226e-09,-8.79017993657276e-09,-6.454159515072601e-09
-1.8094267163957867e-08,-2.3608114205154717e-08,-2.0655311074625163e-08
8.930128516880333e-09,-4.005108483776248e-08,-1.5020561523926563e-08
1.183638335965204e-08,-3.82530563377507e-08,-1.3420597100869204e-08
-3.4500570858226105e-08,-1.7638109168227838e-08,-2.6785120481297987e-08
-1.4098860318921799e-08,-2.914466370550459e-08,-2.292674554784114e-08
