within 0,within 1,between,acc true,acc control
10.850154860814412,11.48636289437612,10.55087262392044,48.0,60.0
11.466962877909342,11.687949260075888,11.191073656082153,45.0,55.0
10.838224077224732,11.197092771530151,10.85234540939331,46.666666666666664,60.0
10.954451560974121,11.072918687547956,10.645899802446365,50.0,65.0
11.59878749847412,11.796293163299561,10.893948354721068,51.6,66.0
10.167776187260946,10.18053092956543,11.193031013011932,49.0,68.33333333333333
10.602872689565023,10.43001454671224,11.602020780245462,49.142857142857146,68.57142857142857
10.724899832407633,10.615343809127808,9.67366756995519,50.75,65.0
9.843501681373233,12.436273574829102,11.453736305236816,50.888888888888886,62.22222222222222
8.723368167877197,11.923306369781494,10.669474945068359,51.6,63.0
11.140151182810465,6.471859931945801,12.254879747118268,52.72727272727273,64.54545454545455
10.359184583028158,10.96179841813587,10.017067614055815,52.333333333333336,63.333333333333336
9.880485693613688,11.123237832387288,9.909067988395691,52.61538461538461,63.07692307692308
11.058056672414144,7.765369017918904,10.247591654459635,52.714285714285715,62.857142857142854
11.51721477508545,7.917725467681885,10.020162963867188,51.733333333333334,62.0
8.282885789871216,10.561593182881673,10.195333550373713,51.375,60.625
9.564071718851725,10.996312856674194,10.311837275822958,56.0,80.0
11.341803210122245,11.515756766001383,10.962227912176223,54.0,90.0
11.056033738454182,11.246265888214111,11.122042894363403,52.666666666666664,86.66666666666667
10.858988952636718,9.925602173805236,11.507647762298584,52.5,90.0
11.511984872817994,9.406371355056763,10.791209917068482,50.0,88.0
11.628523015975953,11.725910806655884,10.656185817718505,52.0,86.66666666666667
11.975956201553345,11.542376073201497,11.138755679130554,54.0,82.85714285714286
11.482628631591798,9.784950828552246,11.20001901626587,53.75,81.25
11.275893529256185,11.016282263256254,11.029120150066557,53.77777777777778,83.33333333333333
11.377435684204102,11.67789340019226,10.840528297424317,53.2,83.0
11.85615940093994,11.38445200920105,10.755105895996094,54.0,84.54545454545455
11.593364334106445,8.646298885345459,11.149633049964905,54.833333333333336,84.16666666666667
10.504334131876627,10.810167721339635,11.514453115917387,56.15384615384615,85.38461538461539
12.649110794067383,11.358234933444432,10.734613239765167,57.285714285714285,85.0
10.303516592298235,11.914422671000162,10.161390474864415,58.13333333333333,84.66666666666667
11.428897953033447,8.332875394821167,11.780596570968628,59.125,85.625
