within 0,within 1,between,acc
8.66907445579914,9.442095821845431,9.026222174155889,54.6875
8.721741065197024,8.838106825707973,8.77267409282572,50.78125
7.474433739342579,7.637722562373369,7.819770365369086,51.5625
7.042364504967613,7.0457836619035445,7.214024766987445,50.390625
6.466868881496691,6.905511724372064,7.186411217669956,50.625
4.777750617516141,5.785374376574174,7.431081947082369,92.1875
3.9853617664306396,5.603415494964969,7.197423736331984,92.96875
3.444783969465735,4.907328552758994,6.182433529088063,87.5
4.179832065778394,4.3485844700086504,5.767066435422748,78.90625
3.9592067710814938,4.631984870316404,5.365758212896853,76.25
3.595097795609505,4.564236622868163,5.356110319946751,93.75
3.084411350218188,4.942058911464485,5.468064998640803,95.3125
2.9008881065153305,4.629128666895051,5.488780292449519,96.35416666666667
2.574175752029217,4.617385630948203,5.419519685563587,96.875
2.9323239904461484,4.699747904654472,5.304419311959722,97.5
3.241858682805492,4.926982970247345,5.612876437604427,100.0
3.4157821403255224,4.697897983419484,5.544684793902379,99.21875
2.9878102517897083,5.022513391167829,5.462666529248071,99.47916666666667
3.2835021368798367,4.642903345304209,5.444562622018762,99.609375
2.868765584761355,5.241406711745145,5.909407167246776,99.6875
2.8951571263147122,5.049390470340688,5.726783280498471,100.0
2.792880369180983,5.057310959087905,5.78586056318684,99.21875
3.103665739455551,4.903012706741454,5.5194949351605915,99.47916666666667
3.6941056711920375,4.880131934840836,5.500776288556118,98.4375
2.738906885996586,5.165014623714785,5.808936952957379,98.75
2.3677380910440653,5.151469555981641,6.152632385874029,100.0
2.4947918914809017,5.0859224157173095,5.657701532006851,96.09375
2.3227801394718948,5.146565456507784,5.743561709498147,95.3125
2.2554443968516407,5.226255027453105,5.79333190414563,96.484375
2.5551604463208104,5.1488650204105815,5.9652171468222015,97.1875
2.4033726049643573,5.266095275519996,5.919051506419103,98.4375
2.3388581158100874,5.0437272383354985,5.736889859274322,99.21875
2.7737607000110387,5.408213600473866,6.09062230121624,98.95833333333333
2.614323674991567,5.276896385532437,5.803643994783493,99.21875
2.5051650430159595,5.109393614625174,5.529507355321021,99.375
2.545510416133429,5.334693530292222,5.740524849467497,100.0
2.3089056719214684,5.279214703267621,5.782761188456789,100.0
2.3581984415821644,5.468288810707881,5.71999848800547,99.47916666666667
2.5023289540457347,5.765348499414151,5.795012677827525,98.046875
1.979491032403091,5.177703887596063,5.738870827356974,98.4375
1.726626192994893,5.206409273027372,5.828887182386051,98.4375
2.3587888971463338,4.8705208766834005,6.000768484176697,99.21875
1.9245654617570034,5.362381299459018,5.986997007599727,98.95833333333333
2.4093780931385083,4.672713207476066,5.618552682680242,98.4375
1.348923725684484,4.669766546421849,5.671798850328495,98.4375
1.946423909228335,4.7228206849911,5.891693787840454,98.4375
1.6550627162379603,4.811547191982919,5.965111660700972,98.4375
1.455529248531048,4.75251185181809,5.929425485703627,98.95833333333333
1.4988649426934553,4.562400295542575,6.161376437018899,99.21875
1.8226813602375913,5.075917869211941,6.287483849444309,99.375
2.1062546780234888,5.07164337515831,6.344658246407142,100.0
1.8129150704904036,4.86027303100914,6.14394933946671,100.0
1.6538046699830855,5.034687809978152,6.02076382894142,100.0
1.756814290315677,4.889129736938992,5.799058900342451,99.609375
1.4241552991428594,4.924597754410456,6.0649244825045265,99.6875
1.618273489874572,4.8174105820535615,5.919413415316877,100.0
1.6973825073049915,5.229195926218264,5.950316773727536,100.0
1.6755228562232776,4.840023648452473,5.867151553447063,98.95833333333333
1.4983441531658173,5.021388048766761,6.039393245999065,99.21875
1.7213190500631101,5.230901801402752,6.069853391241931,99.375
1.9501270983488328,4.662029836687349,6.03079227078706,100.0
1.9530701341502594,4.928387164044124,5.935062467644059,100.0
2.422571052823748,4.8213507277624945,5.851797983094389,98.95833333333333
2.0710527329703003,4.619080720184086,5.875918077634977,99.21875
2.147649573462625,4.872879504676788,5.858869947260246,99.375
2.0911857059720154,4.848749803126544,5.993184697628021,100.0
2.1273004432838016,4.9494765766735735,5.925700522871578,100.0
2.3527398948316223,4.6074072728081354,5.837073078704258,100.0
2.602522314856292,4.514678554686289,5.834997162222862,100.0
2.4847968149585884,4.816123688455873,5.839023891693266,100.0
2.783805175894691,4.80002462647615,5.85445248382166,100.0
2.647855522708287,4.786016527937834,5.779424673035031,100.0
2.716825672401779,4.343437015266554,5.7587485526122295,100.0
2.6638277075756553,4.336151564397489,5.791611544758665,100.0
2.98250350670148,4.486116374306606,5.68337187319557,100.0
