between,within_0,within_1
16.0,16.0,16.0
16.0,16.0,16.0
16.0,16.0,16.0
16.0,16.0,16.0
16.0,15.999374389648438,16.0
16.0,16.0,16.0
16.0,16.0,16.0
16.0,15.999374389648438,16.0
16.0,15.999374389648438,15.999374389648438
15.999687194824219,15.999374389648438,16.0
16.0,15.999374389648438,15.999374389648438
16.0,16.0,16.0
16.0,15.999374389648438,15.999374389648438
16.0,16.0,15.999374389648438
15.999687194824219,15.999374389648438,15.999374389648438
16.0,16.0,16.0
16.0,16.0,16.0
15.999687194824219,16.0,16.0
16.0,16.0,16.0
15.999374389648438,15.998748779296875,16.0
16.0,16.0,16.0
16.0,15.999374389648438,15.998748779296875
16.0,15.998748779296875,16.0
16.0,15.998748779296875,15.998748779296875
16.0,15.999374389648438,15.999374389648438
15.999374389648438,16.0,15.999374389648438
16.0,15.999374389648438,15.999374389648438
16.0,16.0,15.99749755859375
15.999374389648438,15.998123168945312,16.0
15.999374389648438,15.99749755859375,15.999374389648438
15.999374389648438,15.998123168945312,15.998123168945312
16.0,16.0,15.999374389648438
15.999374389648438,15.998748779296875,15.999374389648438
15.999374389648438,15.998748779296875,15.999374389648438
15.999687194824219,15.995620727539062,15.999374389648438
16.0,15.998748779296875,15.998748779296875
15.999374389648438,16.0,15.999374389648438
16.0,15.999374389648438,15.99749755859375
16.0,15.998123168945312,15.998748779296875
16.0,15.998748779296875,15.998748779296875
16.0,15.999374389648438,15.998748779296875
15.999061584472656,15.998748779296875,15.998748779296875
15.999374389648438,15.99749755859375,15.998123168945312
15.999374389648438,15.999374389648438,15.998748779296875
16.0,15.999374389648438,15.996246337890625
15.999687194824219,15.998748779296875,15.999374389648438
15.999687194824219,15.998748779296875,15.998748779296875
15.999687194824219,15.998748779296875,15.999374389648438
15.999687194824219,15.998123168945312,15.998123168945312
16.0,16.0,16.0
15.999687194824219,15.999374389648438,15.998748779296875
15.999687194824219,15.999374389648438,15.998123168945312
15.999687194824219,15.998748779296875,15.996871948242188
16.0,15.998748779296875,15.996871948242188
15.999374389648438,15.999374389648438,15.999374389648438
15.999061584472656,15.999374389648438,15.998748779296875
16.0,15.998748779296875,15.998123168945312
15.999374389648438,15.999374389648438,15.998123168945312
15.999374389648438,15.998748779296875,15.999374389648438
15.998748779296875,15.998748779296875,15.998748779296875
16.0,15.998748779296875,15.998748779296875
16.0,15.995620727539062,16.0
15.999687194824219,15.998123168945312,15.9981219291687
15.999687194824219,15.996871948242188,15.999374389648438
15.999374389648438,15.997496318817138,16.0
15.999061584472656,16.0,15.999374389648438
15.998748779296875,16.0,15.998123168945312
16.0,15.997496318817138,15.998748779296875
16.0,15.999374389648438,15.999374389648438
15.999687194824219,15.998748779296875,16.0
15.999374389648438,15.998748779296875,15.999374389648438
15.999374389648438,15.998123168945312,15.995620727539062
15.999374389648438,15.999374389648438,15.998123168945312
16.0,15.9981219291687,16.0
15.999687194824219,15.998748779296875,15.999374389648438
15.999687194824219,15.998747539520263,15.998748779296875
16.0,15.999374389648438,16.0
16.0,15.998748779296875,15.998748779296875
15.999374389648438,16.0,16.0
15.998748779296875,15.998748779296875,15.998748779296875
16.0,16.0,15.998123168945312
15.999687194824219,15.998123168945312,15.999374389648438
15.999374389648438,15.999374389648438,15.999374389648438
16.0,15.998748779296875,15.998123168945312
15.999687194824219,15.996871948242188,16.0
16.0,16.0,15.998123168945312
15.999061584472656,16.0,15.99749755859375
16.0,15.99749755859375,15.999374389648438
15.999687194824219,15.998748779296875,16.0
16.0,15.99749755859375,15.998748779296875
15.999374389648438,16.0,16.0
15.999687194824219,15.998123168945312,16.0
15.999061584472656,15.999374389648438,16.0
15.999687194824219,15.998748779296875,15.998748779296875
16.0,16.0,16.0
16.0,16.0,15.998123168945312
15.999687194824219,15.998748779296875,15.999374389648438
16.0,16.0,15.999374389648438
16.0,15.998748779296875,15.998748779296875
16.0,15.99749755859375,15.999374389648438
15.999687194824219,16.0,16.0
15.999687194824219,15.999374389648438,15.999374389648438
15.999374389648438,15.999374389648438,15.999374389648438
16.0,15.999374389648438,15.999374389648438
16.0,16.0,15.998123168945312
15.999687194824219,16.0,16.0
15.999374389648438,16.0,15.999374389648438
16.0,15.999374389648438,16.0
16.0,15.999374389648438,15.999374389648438
16.0,15.999374389648438,16.0
16.0,15.998748779296875,15.998748779296875
16.0,15.999374389648438,15.999374389648438
16.0,15.999374389648438,16.0
16.0,15.999374389648438,16.0
15.999687194824219,15.998748779296875,15.999374389648438
16.0,15.999374389648438,15.998747539520263
16.0,16.0,16.0
15.999687194824219,15.999374389648438,15.99749755859375
16.0,16.0,15.998748779296875
16.0,15.998748779296875,15.999374389648438
15.999687194824219,15.99749755859375,15.998123168945312
16.0,15.999374389648438,16.0
16.0,16.0,16.0
16.0,15.998748779296875,16.0
15.999687194824219,15.999374389648438,16.0
16.0,15.998748779296875,15.998748779296875
15.999687194824219,16.0,15.998748779296875
16.0,15.998748779296875,15.999374389648438
16.0,15.998123168945312,16.0
16.0,15.998748779296875,16.0
16.0,16.0,15.999374389648438
16.0,16.0,15.998748779296875
16.0,16.0,15.999374389648438
16.0,15.999374389648438,16.0
15.999687194824219,16.0,16.0
15.999687194824219,15.998748779296875,15.999374389648438
16.0,16.0,16.0
16.0,15.999374389648438,15.999374389648438
15.999687194824219,16.0,15.998748779296875
16.0,15.999374389648438,15.998748779296875
16.0,15.999374389648438,15.998748779296875
16.0,15.999374389648438,16.0
16.0,16.0,15.999374389648438
16.0,15.999374389648438,16.0
15.999687194824219,15.999374389648438,15.998748779296875
16.0,15.998748779296875,15.999374389648438
16.0,16.0,15.999374389648438
16.0,16.0,16.0
15.999687194824219,16.0,15.999374389648438
16.0,16.0,15.998748779296875
