within 0,within 1,between
11.26930667492522,11.251087519922867,11.363740108283283
11.220211926326957,11.26604814691977,11.405630789427697
11.236565312554157,11.212277646064758,11.383677541781694
11.330349539953565,11.163305073188095,11.355180824559833
11.289465785987916,11.171650616392013,11.39299296028912
11.22654873414239,11.199303967158,11.313271222236828
11.24604769763101,11.193094182214818,11.279257875357942
11.306102713852217,11.127918632056124,11.28453033620661
11.256479003212668,11.122594437547908,11.27328641393667
11.205961044018085,11.081299851735434,11.176042791513296
11.138094460050478,11.17353919018274,11.212351377805074
10.860519342573863,11.223896891982466,11.170576933830503
11.260910741020652,11.026280827122957,11.244793332856277
11.2466141909839,11.024561771305128,11.287173037435494
11.169943491617838,10.731480781511328,11.031568681492525
10.818481847192302,11.1210922497575,11.117743772728586
11.133203017727727,10.931274053255716,11.007733374375563
11.146287615076075,10.666115664634384,10.998203194435007
11.101240260928284,11.126142909609039,11.193579645717845
11.145059534021327,11.051180739035972,11.071627455201709
11.150597950739739,11.135003996931989,11.105646351973215
10.748498977191987,10.690979681668743,10.683712375350296
10.994430028142467,10.566375346914414,10.853268342558295
10.903313394630617,11.007406130570631,11.031596853182865
11.10577003827659,10.96090300877889,11.033289139804486
10.7215121680615,11.284291562266734,11.243662481681973
11.170687637529573,9.802842519222162,11.17417900698321
10.961450314247745,10.562108858383914,10.801806881848503
10.848683574969535,10.980066116773164,10.924810893622487
10.236104755690604,10.438713664570074,10.323057625106737
11.19518030166626,10.828234051564122,11.158866457327818
10.898689910324336,10.738679728874793,10.766448211573396
10.196038089079016,10.879033890851025,10.594581730847288
10.907027233943158,10.275335451104175,10.65458893588945
10.468440847862057,10.662462096911645,10.512927748618424
10.461192468612913,10.763486139358037,10.606385495454546
10.992914552489916,10.66364841615,10.840374780656772
10.382539246175382,9.91237689083458,10.15137336800645
10.599519605021323,10.663758339755463,10.60534398180532
10.83205307627481,10.77204450980696,10.795310955198984
10.57152347987698,10.54955784159322,10.506950407288969
10.296116811543824,10.323550848166148,10.242984747764392
9.995339434255254,10.171773930006129,10.031249834761708
10.886000897433307,10.986570970964568,10.962005204743928
11.041941039023861,10.6375285391846,10.898855820298195
10.854974734593952,10.42511539295237,10.619305481749867
10.79978913352603,10.397903322038196,10.589549689538895
10.762601376295805,10.832233086610453,10.767660797775925
10.004657668752355,9.985201688233943,9.943525999277323
9.556730277197701,10.40651540685757,10.05024301759128
10.180430695341139,9.995734165896888,10.002725214793765
10.932199733299122,9.685224786599477,10.63191825059744
10.906361024300974,10.689904655826059,10.77176023746754
8.115194314303883,10.214324284970075,9.409859389651055
10.826856473762934,10.76763959424249,10.774537853633657
10.179501222987328,10.619970665343347,10.378334711305797
10.79317230612666,10.194088231464397,10.617399243382481
10.594536539312598,9.818111805494695,10.27694256861766
10.188577124429127,10.207379749212315,10.124657677279579
9.440907324770446,9.814515763159955,9.54527903430506
9.236386066239573,9.56075373463247,9.364114720914879
10.270138580080063,10.37984781732004,10.258786084633025
10.807616570057013,10.060677045186361,10.532967073978522
9.982320172846817,9.530527320401422,9.745787819265733
10.363274799191894,10.4954721947678,10.363646846216888
9.993106693780723,9.735848821442703,9.81551252233571
10.954541932619534,10.514773898366569,10.910587156067292
10.33349365644064,10.331408138932852,10.291142259625827
9.29261487428889,9.259733373118985,9.18790278348522
10.21029127182499,10.533937372041471,10.333941496478964
10.179891801080784,9.823013525878267,9.947187161563065
9.3092909034666,10.194088937889816,9.778935909748554
9.741220871607462,10.134225161618026,9.938344674924064
9.702148222110488,9.967094398313954,9.757988587852097
10.89700586901557,10.127719192254927,10.738111142767593
