between,within_0,within_1
16.0,16.0,16.0
16.0,16.0,16.0
16.0,16.0,16.0
16.0,16.0,16.0
16.0,16.0,16.0
16.0,16.0,16.0
16.0,16.0,16.0
16.0,16.0,16.0
16.0,16.0,16.0
16.0,16.0,16.0
16.0,16.0,16.0
16.0,16.0,16.0
16.0,16.0,16.0
16.0,16.0,16.0
16.0,16.0,16.0
15.999739329020182,15.999197935446714,16.0
16.0,16.0,15.999237060546875
16.0,16.0,16.0
15.999739329020182,16.0,16.0
15.999739329020182,15.999197935446714,16.0
16.0,16.0,16.0
16.0,16.0,16.0
15.999739329020182,16.0,16.0
15.999739329020182,16.0,16.0
15.999739329020182,16.0,16.0
15.999739329020182,16.0,16.0
16.0,15.999197935446714,16.0
16.0,16.0,16.0
15.999739329020182,16.0,16.0
16.0,16.0,16.0
15.99921747048696,16.0,16.0
16.0,16.0,15.999237060546875
16.0,16.0,16.0
16.0,16.0,15.999237060546875
16.0,16.0,16.0
16.0,16.0,16.0
16.0,16.0,16.0
16.0,15.999197935446714,16.0
15.999739329020182,16.0,16.0
16.0,15.999197935446714,15.999237060546875
16.0,16.0,16.0
15.999478658040365,16.0,16.0
16.0,16.0,16.0
16.0,15.999197935446714,16.0
16.0,15.999197935446714,15.999237060546875
15.999739329020182,16.0,16.0
16.0,16.0,16.0
16.0,16.0,15.99847412109375
16.0,16.0,16.0
15.999739329020182,16.0,16.0
