within 0,within 1,between,acc
9.266602175479585,10.281065549645373,9.860548067652235,48.4375
7.081464596589407,6.8052327780910185,6.962071544084793,53.90625
7.511239276850287,7.096530927734814,7.243656048353981,50.520833333333336
4.727698045632532,7.029804587123856,6.166051265085116,50.390625
3.9939602252937134,4.726858019107772,4.416533464798704,51.875
5.408675013465443,4.948374850227234,5.26653455975009,60.9375
6.332330106808047,4.644649238746707,5.995294118044999,71.875
6.19328515683451,5.080328293144703,6.372188763651097,75.0
5.9381637243997485,4.183647740454901,5.7174637659438075,75.390625
6.215985141403373,4.40624267170986,6.608987900556302,79.0625
6.32149491707484,4.214616076610027,8.147292394191027,95.3125
5.764606816995712,3.986876739080621,5.742215042194677,90.625
5.736442511056059,4.372830092455402,6.415864920453009,91.14583333333333
5.679475588558101,4.299236540430285,6.345781807241769,91.40625
5.327609681260997,4.205719368343047,6.085494522019928,89.375
5.39431576422829,4.223163528277956,6.5656377495503895,98.4375
5.650955940868045,4.05234560158178,6.790795088052988,98.4375
5.664743010997772,3.9833493708920704,8.366033757527669,97.91666666666667
5.642011165844671,4.179082436202675,6.716325560156784,98.4375
5.661690813184124,4.150060231621201,7.86765301024711,98.4375
5.80438349166838,4.0584615398510335,6.521563030581169,95.3125
5.63213230305602,4.179815150403428,7.127473097922755,96.875
6.104025380903499,4.124601620632607,8.137576063593349,97.39583333333333
5.702671960863487,4.236598137825254,7.859903268870854,98.046875
5.64387722481643,4.251128371684782,7.5180973096285015,98.4375
5.71800477175877,4.336452580815756,7.625658468288534,100.0
5.677732376668645,4.300433681822928,7.395981362520479,99.21875
5.600542082068741,4.321778456370036,7.697752754010064,99.47916666666667
5.289999872180442,4.461129987924949,7.244273897713306,99.609375
5.613421111209418,4.377926202434482,7.829510523893034,99.375
5.3789685243847725,4.421447905839658,7.928405035827674,98.4375
5.424501122236252,4.272665243078018,8.674956331497583,99.21875
5.32301789551533,4.327448809647761,8.3712194541405,99.47916666666667
4.978008206334935,4.653304163859441,6.9732201277968375,99.609375
5.3015518568841316,4.7363171991260575,7.313610988972234,99.6875
5.543939433955207,4.763061605181012,8.230789201012973,100.0
5.485049788283293,4.666851410411653,8.40635642527588,100.0
5.315711246521184,4.66509759810663,7.5784206684034245,100.0
5.575211689646443,4.9061054920328075,7.294578184099758,99.21875
5.471507291159322,4.6932083517313,7.411741412710398,99.375
5.6638311247562125,5.088461317961244,7.535526759250491,100.0
6.241549089156761,4.886741190486484,8.027642154977435,99.21875
5.738117750044222,4.797408697718666,8.380797462803978,99.47916666666667
5.619255228629036,5.223376364236878,7.529231331543997,96.484375
5.829839948239386,5.184783564490833,7.351436986642725,96.25
4.60892113697629,5.313722811896225,7.042643864518904,92.1875
5.54665778196775,4.880626411220936,8.186628024346433,91.40625
4.830035262006931,4.5464760131306114,8.280513380964598,94.27083333333333
4.8297992319984235,4.889032109030362,7.529872087871327,95.3125
4.619778063035373,5.094577730342906,7.234448213381501,95.9375
5.725795978540415,5.136812937225711,7.015009488429393,73.4375
4.665714637438456,5.275456002490087,7.51185923284566,86.71875
5.797384695852957,5.607812503973643,7.607537035601813,89.58333333333333
5.494658932685852,5.890032056533052,7.655807376030164,89.453125
5.451954989904357,6.120173707844749,7.212612462462857,90.625
5.3694903060342325,6.1718881445546305,7.331680358213647,98.4375
4.754296362400055,6.02011023509887,6.837198513327166,97.65625
6.373949068142817,5.876355931565568,7.771316183482105,97.39583333333333
5.293707323074341,6.042774519309622,7.240384728450493,97.65625
5.2373127797554275,5.959914102486323,7.501532181571512,98.125
5.844466512853449,5.997993930180868,7.021839341930314,87.5
5.08791379948624,5.873628133623471,7.333618768447725,89.84375
5.7734808689669554,6.113633026784369,7.435162177410993,91.14583333333333
4.483292356133461,5.962000619467869,6.794396508124567,92.1875
3.9192554593723727,6.134284596059514,6.832878896301868,93.75
3.9672541460509083,5.802257792774217,7.045263073403082,96.875
4.25569268471417,5.824767873479032,6.386699574367673,96.875
4.856151702846934,5.854301707337542,6.850241701524559,95.3125
4.3521038025775285,5.763351041930062,6.554529278760865,96.484375
3.9490068226025024,5.697352769595234,6.692112587238181,96.875
4.512028681681707,5.502230591149961,6.7508061250694364,100.0
4.031602401625026,5.519481970930612,6.662867520911253,100.0
4.267507763870624,5.556446360837063,6.557678490201828,100.0
4.380130124155175,5.265454665630583,6.4720149406838035,100.0
4.400921016453422,5.364935689959033,6.287185679697523,100.0
